scenario_key,scenario_name,turn,code,name,population_weight,energy_security,food_security,compute_access,distribution_capacity,social_cohesion,cash_stability,capital_surplus,labor_displacement,inequality_pressure,sanction_exposure,conflict_risk,climate_stress,alliance_support,war_burden,military_posture,tax_burden,housing_pressure,youth_unemployment,policing_capacity,elite_cohesion,economic_stress,legitimacy_stress,mobilization_capacity,elite_fragmentation,communal_polarization,domestic_burden,domestic_stage,domestic_stage_index,grievance_pressure,protest_pressure,riot_pressure,civil_conflict_pressure,domestic_diversion_incentive,survival_pressure,war_pressure,gray_zone_probability,proxy_probability,limited_war_probability,likely_mode,adaptation_absorption,structure_credit_gain,capital_share_gain,displacement_bump,displacement_gap_after_buffer,war_drag,M,L,S,dependency_risk,displacement_gap,horizon_turns,support_needed,coercion_capacity,repression_mismatch,relief_support,trigger_bonus,armed_capacity,escalation_probability,cooldown_probability
fracture,High automation / low adaptation,7,CHN,China,0.18,0.68,0.7,0.78,0.4076,0.4669,0.5059,0.8847,0.5998,0.5602,0.4593,0.5008,0.3,0.4573,0.039,0.221,0.3081,0.5015,0.3122,0.7218,0.6861,0.4118,0.3704,0.4576,0.3944,0.4759,0.12,protest,2,0.288,0.2456,0.3429,0.2398,0.3627,0.1874,0.5425,0.7487,0.3512,0.1175,proxy,0.0178,0.0114,0.0084,0.063,0.5622,0.0264,0.6738,0.402,0.4508,0.1239,0.1922,5.98,0.5042,0.7303,0.2032,0.0083,0.0243,0.6009,0.1508,0.1555
fracture,High automation / low adaptation,7,EU,European Union,0.16,0.4168,0.8,0.84,0.5978,0.4329,0.4177,0.8472,0.5621,0.4407,0.1882,0.3909,0.23,0.7966,0.0955,0.1018,0.3157,0.4812,0.2825,0.597,0.7001,0.3996,0.2905,0.5347,0.291,0.4104,0.09,protest,2,0.2664,0.2653,0.3193,0.188,0.3329,0.0,0.0,0.0,0.0,0.0,none,0.0203,0.0139,0.0073,0.0621,0.5206,0.0438,0.6944,0.3575,0.4857,0.2584,0.0,7.67,0.3836,0.5838,0.3613,0.0093,0.0321,0.4725,0.1083,0.1599
fracture,High automation / low adaptation,7,JPN,Japan,0.07,0.1608,0.4101,0.88,0.5571,0.5491,0.4721,0.7839,0.5642,0.4248,0.1643,0.3063,0.18,0.7706,0.0866,0.1072,0.3123,0.5376,0.2678,0.5744,0.6996,0.3911,0.2598,0.55,0.2782,0.3471,0.02,stable,0,0.2486,0.2342,0.2967,0.1629,0.2757,0.0,0.0,0.0,0.0,0.0,none,0.0202,0.014,0.0058,0.0608,0.5242,0.0624,0.629,0.338,0.4486,0.398,0.0071,7.38,0.4011,0.5543,0.3427,0.009,0.0318,0.427,0.1997,0.1678
fracture,High automation / low adaptation,7,IND,India,0.19,0.4147,0.65,0.63,0.3478,0.4349,0.3671,0.4946,0.5141,0.5779,0.1,0.3905,0.42,0.5648,0.0048,0.0887,0.2869,0.5233,0.3136,0.5271,0.494,0.443,0.4057,0.4518,0.4441,0.4455,0.0585,grievance,1,0.3232,0.2837,0.3841,0.2619,0.3928,0.0,0.0,0.0,0.0,0.0,none,0.0133,0.0094,0.0,0.0525,0.4914,0.004,0.5544,0.3699,0.383,0.2655,0.1663,5.69,0.5269,0.533,0.3643,0.0052,0.03,0.4661,0.1841,0.1042
fracture,High automation / low adaptation,7,SAU,Saudi Arabia,0.03,0.96,0.28,0.58,0.3893,0.4772,0.6029,0.7969,0.3947,0.4431,0.18,0.432,0.43,0.5968,0.0,0.0965,0.3012,0.5184,0.2369,0.6101,0.6795,0.3416,0.329,0.3668,0.3311,0.416,0.0224,stable,0,0.2459,0.1942,0.2923,0.1949,0.2959,0.0,0.0,0.0,0.0,0.0,none,0.0165,0.0111,0.0059,0.04,0.3611,0.0,0.6369,0.3233,0.4609,0.3367,0.0054,6.92,0.3806,0.6082,0.1745,0.0075,0.0112,0.471,0.1971,0.1554
fracture,High automation / low adaptation,7,RUS,Russia,0.04,0.8763,0.74,0.52,0.2459,0.3898,0.3126,0.5825,0.4077,0.5834,0.8119,0.6904,0.26,0.2468,0.043,0.2583,0.2893,0.5106,0.2858,0.6253,0.3622,0.4253,0.5476,0.3105,0.6468,0.5952,0.0312,stable,0,0.3616,0.2759,0.4516,0.342,0.4654,0.3593,0.4302,0.525,0.4936,0.034,proxy,0.0117,0.0073,0.0011,0.0432,0.3876,0.0212,0.5661,0.4664,0.3551,0.3103,0.1618,4.19,0.6141,0.6473,0.2584,0.0045,0.0348,0.5968,0.1769,0.0878
fracture,High automation / low adaptation,7,BRA,Brazil,0.05,0.79,0.86,0.54,0.3182,0.4015,0.4243,0.4824,0.4299,0.5402,0.08,0.346,0.47,0.4236,0.0,0.0576,0.2784,0.476,0.2795,0.3994,0.4614,0.4024,0.4141,0.413,0.4513,0.4345,0.1008,protest,2,0.3152,0.2918,0.3869,0.2522,0.405,0.0,0.0,0.0,0.0,0.0,none,0.0126,0.0085,0.0,0.0436,0.4087,0.0,0.6063,0.3352,0.4336,0.1458,0.1117,6.25,0.4378,0.3949,0.4525,0.0048,0.0208,0.3393,0.1255,0.0894
fracture,High automation / low adaptation,8,USA,United States,0.18,0.8186,0.88,0.97,0.451,0.3917,0.5401,0.9719,0.6909,0.5654,0.1247,0.3216,0.22,0.7629,0.0028,0.0997,0.3063,0.485,0.3239,0.6776,0.7502,0.4148,0.3187,0.5596,0.2986,0.4476,0.02,stable,0,0.2816,0.2497,0.3345,0.1957,0.3107,0.1168,0.2982,0.4651,0.1651,0.0052,proxy,0.0186,0.0127,0.003,0.0682,0.6566,0.0021,0.7683,0.3326,0.5509,0.1125,0.2399,7.71,0.3817,0.6802,0.3269,0.0078,0.0703,0.5763,0.2332,0.1584
fracture,High automation / low adaptation,8,CHN,China,0.18,0.68,0.7,0.78,0.4083,0.4329,0.4411,0.8739,0.6628,0.6046,0.5052,0.544,0.3,0.4526,0.0385,0.2475,0.3097,0.5326,0.3328,0.7198,0.6731,0.456,0.397,0.4525,0.4178,0.5269,0.0858,grievance,1,0.3277,0.2855,0.3829,0.2633,0.4117,0.2309,0.5661,0.7728,0.3796,0.1364,proxy,0.0174,0.0111,0.0023,0.063,0.6319,0.0255,0.6711,0.4334,0.4351,0.1251,0.2545,5.55,0.5542,0.7295,0.2499,0.0069,0.0808,0.6162,0.1212,0.1389
fracture,High automation / low adaptation,8,EU,European Union,0.16,0.3633,0.8,0.84,0.5979,0.3691,0.3172,0.8397,0.6239,0.4828,0.1882,0.4726,0.23,0.8048,0.1252,0.1226,0.318,0.5092,0.3004,0.597,0.6968,0.4455,0.3112,0.5279,0.3017,0.4614,0.09,protest,2,0.3059,0.2911,0.3565,0.2074,0.3564,0.0,0.0,0.0,0.0,0.0,none,0.0199,0.0137,0.0021,0.0618,0.5882,0.0652,0.6762,0.3989,0.4538,0.2754,0.026,7.06,0.4512,0.5838,0.4055,0.0081,0.0935,0.4952,0.125,0.1442
